"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAV35*01","TRAV35","TRAV35",510,516,516
"TRAV30*01","TRAV30","TRAV30",249,249,249
"TRAV12-3*01","TRAV12-3","TRAV12",713,714,3678
"TRAJ31*01","TRAJ31","TRAJ31",681,681,681
"TRAJ3*01","TRAJ3","TRAJ3",253,253,253
"TRAJ39*01","TRAJ39","TRAJ39",793,793,793
"TRAJ16*01","TRAJ16","TRAJ16",3,3,3
"TRAJ28*01","TRAJ28","TRAJ28",607,607,607
"TRAJ35*01","TRAJ35","TRAJ35",6,6,6
"TRAJ26*01","TRAJ26","TRAJ26",667,667,667
"TRAJ22*01","TRAJ22","TRAJ22",389,389,389
"TRAJ6*01","TRAJ6","TRAJ6",496,496,496
"TRAJ13*01","TRAJ13","TRAJ13",418,434,434
"TRAJ29*01","TRAJ29","TRAJ29",509,509,509
"TRAJ12*01","TRAJ12","TRAJ12",430,430,430
"TRAJ36*01","TRAJ36","TRAJ36",413,413,413
"TRAJ32*02","TRAJ32","TRAJ32",8,344,344
"TRAJ47*01","TRAJ47","TRAJ47",403,406,406
"TRAJ45*01","TRAJ45","TRAJ45",978,978,978
"TRAJ44*01","TRAJ44","TRAJ44",316,316,316
"TRAJ57*01","TRAJ57","TRAJ57",362,362,362
"TRAJ8*01","TRAJ8","TRAJ8",317,317,317
"TRAJ10*01","TRAJ10","TRAJ10",339,339,339
"TRAJ50*01","TRAJ50","TRAJ50",646,646,646
"TRAJ17*01","TRAJ17","TRAJ17",378,378,378
"TRAJ13*02","TRAJ13","TRAJ13",16,434,434
"TRAJ56*01","TRAJ56","TRAJ56",156,156,156
"TRAJ4*01","TRAJ4","TRAJ4",515,515,515
"TRAJ38*01","TRAJ38","TRAJ38",127,127,127
"TRDJ1*01","TRDJ1","TRDJ1",3,3,3
"TRAJ32*01","TRAJ32","TRAJ32",336,344,344
"TRAJ5*01","TRAJ5","TRAJ5",281,281,281
"TRAJ24*01","TRAJ24","TRAJ24",3,35,35
"TRDJ2*01","TRDJ2","TRDJ2",7,7,7
"TRDJ4*01","TRDJ4","TRDJ4",3,3,3
"TRAJ7*01","TRAJ7","TRAJ7",194,194,194
"TRBJ1-1*01","TRBJ1-1","TRBJ1",3239,3239,9767
"TRAJ24*03","TRAJ24","TRAJ24",1,35,35
"TRAJ23*02","TRAJ23","TRAJ23",1,620,620
"TRDJ3*01","TRDJ3","TRDJ3",1,1,1
"TRAJ46*01","TRAJ46","TRAJ46",22,22,22
"TRAJ14*01","TRAJ14","TRAJ14",1,1,1
"TRAV27*01","TRAV27","TRAV27",1120,1125,1125
"TRAV24*01","TRAV24","TRAV24",423,423,423
"TRAV8-3*01","TRAV8-3","TRAV8",701,713,2384
"TRAV38-2/DV8*01","TRAV38-2/DV8","TRAV38",819,819,1409
"TRAV3*01","TRAV3","TRAV3",829,829,829
"TRAV38-1*01","TRAV38-1","TRAV38",589,590,1409
"TRAV8-2*01","TRAV8-2","TRAV8",309,309,2384
"TRAV16*01","TRAV16","TRAV16",286,286,286
"TRAV14/DV4*02","TRAV14/DV4","TRAV14",18,1321,1321
"TRAV13-1*01","TRAV13-1","TRAV13",1186,1191,1928
"TRAV12-3*01","TRAV12-3","TRAV12",713,714,3678
"TRAV12-1*01","TRAV12-1","TRAV12",1161,1161,3678
"TRAV8-6*01","TRAV8-6","TRAV8",385,426,2384
"TRAV29/DV5*01","TRAV29/DV5","TRAV29",1201,1202,1202
"TRAV8-4*05","TRAV8-4","TRAV8",4,447,2384
"TRAV5*01","TRAV5","TRAV5",820,820,820
"TRAV19*01","TRAV19","TRAV19",1494,1494,1494
"TRAV35*01","TRAV35","TRAV35",510,516,516
"TRAV4*01","TRAV4","TRAV4",587,587,587
"TRAV1-2*01","TRAV1-2","TRAV1",1249,1251,1585
"TRAV12-2*01","TRAV12-2","TRAV12",1786,1803,3678
"TRAV22*01","TRAV22","TRAV22",318,318,318
"TRAV25*01","TRAV25","TRAV25",493,493,493
"TRAV12-2*03","TRAV12-2","TRAV12",4,1803,3678
"TRAV20*01","TRAV20","TRAV20",470,475,475
"TRAV6*01","TRAV6","TRAV6",197,203,203
"TRAV1-1*01","TRAV1-1","TRAV1",334,334,1585
"TRAV35*02","TRAV35","TRAV35",6,516,516
"TRAV30*01","TRAV30","TRAV30",249,249,249
"TRAV12-3*02","TRAV12-3","TRAV12",1,714,3678
"TRAV8-1*01","TRAV8-1","TRAV8",489,489,2384
"TRAV26-1*01","TRAV26-1","TRAV26",313,316,755
"TRAV14/DV4*01","TRAV14/DV4","TRAV14",1300,1321,1321
"TRAV17*01","TRAV17","TRAV17",1037,1037,1037
"TRAV10*01","TRAV10","TRAV10",383,384,384
"TRAV21*01","TRAV21","TRAV21",1092,1095,1095
"TRAV39*01","TRAV39","TRAV39",232,232,232
"TRAV9-2*01","TRAV9-2","TRAV9",473,474,475
"TRAV26-2*01","TRAV26-2","TRAV26",438,439,755
"TRAV27*03","TRAV27","TRAV27",5,1125,1125
"TRAV13-1*02","TRAV13-1","TRAV13",5,1191,1928
"TRAV13-2*01","TRAV13-2","TRAV13",737,737,1928
"TRAV12-2*02","TRAV12-2","TRAV12",13,1803,3678
"TRAV23/DV6*01","TRAV23/DV6","TRAV23",217,217,217
"TRAV8-4*03","TRAV8-4","TRAV8",2,447,2384
"TRAV8-4*01","TRAV8-4","TRAV8",441,447,2384
"TRAV41*01","TRAV41","TRAV41",311,311,311
"TRAV8-6*02","TRAV8-6","TRAV8",41,426,2384
"TRAV36/DV7*01","TRAV36/DV7","TRAV36",148,151,151
"TRAV2*02","TRAV2","TRAV2",1,175,175
"TRAV36/DV7*02","TRAV36/DV7","TRAV36",3,151,151
"TRAV29/DV5*02","TRAV29/DV5","TRAV29",1,1202,1202
"TRAV6*03","TRAV6","TRAV6",3,203,203
"TRAV26-1*03","TRAV26-1","TRAV26",2,316,755
"TRAV2*01","TRAV2","TRAV2",174,175,175
"TRAV14/DV4*03","TRAV14/DV4","TRAV14",3,1321,1321
"TRAV21*02","TRAV21","TRAV21",3,1095,1095
"TRAV34*01","TRAV34","TRAV34",127,127,127
"TRAV40*01","TRAV40","TRAV40",41,41,41
"TRAV9-1*01","TRAV9-1","TRAV9",1,1,475
"TRAV8-3*02","TRAV8-3","TRAV8",12,713,2384
"TRAV6*02","TRAV6","TRAV6",3,203,203
"TRAV20*02","TRAV20","TRAV20",5,475,475
"TRAV26-2*02","TRAV26-2","TRAV26",1,439,755
"TRAV9-2*02","TRAV9-2","TRAV9",1,474,475
"TRAV10*02","TRAV10","TRAV10",1,384,384
"TRBV10-2*02","TRBV10-2","TRBV10",4,189,683
"TRAV1-2*03","TRAV1-2","TRAV1",2,1251,1585
"TRAV38-1*03","TRAV38-1","TRAV38",1,590,1409
"TRAV26-1*02","TRAV26-1","TRAV26",1,316,755
"TRAV18*01","TRAV18","TRAV18",19,19,19
"TRBJ2-7*01","TRBJ2-7","TRBJ2",4423,4423,16556
"TRBJ2-3*01","TRBJ2-3","TRBJ2",2902,2902,16556
"TRBJ1-2*01","TRBJ1-2","TRBJ1",2936,2936,9767
"TRBJ2-1*01","TRBJ2-1","TRBJ2",4400,4400,16556
"TRBJ1-6*01","TRBJ1-6","TRBJ1",635,648,9767
"TRBJ2-5*01","TRBJ2-5","TRBJ2",1810,1810,16556
"TRBJ1-5*01","TRBJ1-5","TRBJ1",1597,1597,9767
"TRBJ1-4*01","TRBJ1-4","TRBJ1",809,809,9767
"TRBJ1-1*01","TRBJ1-1","TRBJ1",3239,3239,9767
"TRBJ2-2*01","TRBJ2-2","TRBJ2",2355,2355,16556
"TRBJ1-3*01","TRBJ1-3","TRBJ1",538,538,9767
"TRBJ2-4*01","TRBJ2-4","TRBJ2",337,337,16556
"TRBJ1-6*02","TRBJ1-6","TRBJ1",13,648,9767
"TRBJ2-6*01","TRBJ2-6","TRBJ2",329,329,16556
"TRBV19*02","TRBV19","TRBV19",123,3743,3743
"TRBV5-8*01","TRBV5-8","TRBV5",106,106,2049
"TRBV9*01","TRBV9","TRBV9",1181,1186,1186
"TRBV19*03","TRBV19","TRBV19",6,3743,3743
"TRBV19*01","TRBV19","TRBV19",3614,3743,3743
"TRBV2*03","TRBV2","TRBV2",3,742,742
"TRBV27*01","TRBV27","TRBV27",1626,1626,1626
"TRBV7-9*01","TRBV7-9","TRBV7",1635,1681,3347
"TRBV5-5*01","TRBV5-5","TRBV5",210,210,2049
"TRBV29-1*02","TRBV29-1","TRBV29",3,763,763
"TRBV4-2*01","TRBV4-2","TRBV4",335,335,1898
"TRBV4-3*01","TRBV4-3","TRBV4",526,526,1898
"TRBV18*01","TRBV18","TRBV18",287,287,287
"TRBV11-3*02","TRBV11-3","TRBV11",1,177,1044
"TRBV25-1*01","TRBV25-1","TRBV25",214,214,214
"TRBV29-1*01","TRBV29-1","TRBV29",760,763,763
"TRBV5-1*01","TRBV5-1","TRBV5",775,775,2049
"TRBV28*01","TRBV28","TRBV28",675,675,675
"TRBV30*01","TRBV30","TRBV30",311,315,315
"TRBV6-6*03","TRBV6-6","TRBV6",1,337,2598
"TRBV7-2*04","TRBV7-2","TRBV7",1,523,3347
"TRBV5-4*01","TRBV5-4","TRBV5",379,380,2049
"TRBV13*02","TRBV13","TRBV13",1,388,388
"TRBV6-5*01","TRBV6-5","TRBV6",885,885,2598
"TRBV12-4*01","TRBV12-4","TRBV12",739,739,1503
"TRBV20-1*01","TRBV20-1","TRBV20",1520,1521,1521
"TRBV24-1*01","TRBV24-1","TRBV24",396,396,396
"TRBV6-2*01","TRBV6-2","TRBV6",135,135,2598
"TRBV6-1*01","TRBV6-1","TRBV6",551,551,2598
"TRBV30*02","TRBV30","TRBV30",4,315,315
"TRBV9*02","TRBV9","TRBV9",5,1186,1186
"TRBV6-3*01","TRBV6-3","TRBV6",497,497,2598
"TRBV5-6*01","TRBV5-6","TRBV5",578,578,2049
"TRBV4-1*01","TRBV4-1","TRBV4",1036,1037,1898
"TRBV7-3*01","TRBV7-3","TRBV7",279,279,3347
"TRBV6-4*01","TRBV6-4","TRBV6",182,186,2598
"TRBV10-3*01","TRBV10-3","TRBV10",360,370,683
"TRBV11-2*01","TRBV11-2","TRBV11",771,772,1044
"TRBV12-3*01","TRBV12-3","TRBV12",593,593,1503
"TRBV3-1*01","TRBV3-1","TRBV3",573,573,573
"TRBV7-8*03","TRBV7-8","TRBV7",1,444,3347
"TRBV11-1*01","TRBV11-1","TRBV11",95,95,1044
"TRBV7-9*03","TRBV7-9","TRBV7",46,1681,3347
"TRBV6-6*01","TRBV6-6","TRBV6",331,337,2598
"TRBV11-2*03","TRBV11-2","TRBV11",1,772,1044
"TRBV7-2*02","TRBV7-2","TRBV7",3,523,3347
"TRBV7-6*01","TRBV7-6","TRBV7",343,343,3347
"TRBV7-8*01","TRBV7-8","TRBV7",439,444,3347
"TRBV2*01","TRBV2","TRBV2",739,742,742
"TRBV14*01","TRBV14","TRBV14",338,338,338
"TRBV7-2*01","TRBV7-2","TRBV7",512,523,3347
"TRBV13*01","TRBV13","TRBV13",387,388,388
"TRBV10-2*01","TRBV10-2","TRBV10",185,189,683
"TRBV6-4*02","TRBV6-4","TRBV6",4,186,2598
"TRBV15*01","TRBV15","TRBV15",395,403,403
"TRBV10-3*02","TRBV10-3","TRBV10",10,370,683
"TRBV6-8*01","TRBV6-8","TRBV6",2,2,2598
"TRBV10-1*01","TRBV10-1","TRBV10",123,124,683
"TRBV16*01","TRBV16","TRBV16",31,31,31
"TRBV10-2*02","TRBV10-2","TRBV10",4,189,683
"TRBV15*02","TRBV15","TRBV15",8,403,403
"TRBV4-1*02","TRBV4-1","TRBV4",1,1037,1898
"TRBV6-6*02","TRBV6-6","TRBV6",5,337,2598
"TRBV10-1*02","TRBV10-1","TRBV10",1,124,683
"TRBV12-5*01","TRBV12-5","TRBV12",171,171,1503
"TRBV5-4*02","TRBV5-4","TRBV5",1,380,2049
"TRBV6-9*01","TRBV6-9","TRBV6",5,5,2598
"TRBV20-1*02","TRBV20-1","TRBV20",1,1521,1521
"TRBV7-8*02","TRBV7-8","TRBV7",4,444,3347
"TRBV7-7*01","TRBV7-7","TRBV7",71,71,3347
"TRBV11-3*01","TRBV11-3","TRBV11",176,177,1044
"TRBV7-4*01","TRBV7-4","TRBV7",6,6,3347
"TRBV7-2*03","TRBV7-2","TRBV7",7,523,3347
